Text,Genre,Year,subjtopic-V n,subjtopic-V %,V-subjtopic n,V-subjtopic %,XP-V-subjtopic n,XP-V-subjtopic %
Firstgrammar,sci,1150,6,0.2,7,0.23,17,0.57
Homiliubok,rel,1150,173,0.33,62,0.12,285,0.55
Jartein,rel,1250,48,0.33,45,0.31,53,0.36
Thorlakur,rel,1210,57,0.49,34,0.29,25,0.22
Sturlunga,nar,1250,236,0.49,119,0.25,126,0.26
Thetubrot,nar,1250,14,0.26,28,0.52,12,0.22
Jomsvikingar,nar,1260,108,0.56,10,0.05,76,0.39
Gragas,law,1270,25,0.44,8,0.14,24,0.42
Morkin,nar,1275,182,0.52,52,0.15,118,0.34
Alexander,nar,1300,129,0.47,16,0.06,132,0.48
Grettir,nar,1310,230,0.46,177,0.35,96,0.19
Arni,nar,1325,97,0.46,60,0.28,55,0.26
BandamennM,nar,1350,89,0.35,61,0.24,107,0.42
Finnbogi,nar,1350,300,0.45,184,0.28,176,0.27
Marta,rel,1350,100,0.36,42,0.15,132,0.48
Gunnar,nar,1400,173,0.57,57,0.19,71,0.24
Gunnar2,nar,1400,38,0.42,29,0.32,24,0.26
Viglundur,nar,1400,115,0.36,141,0.44,66,0.2
Bandamenn,nar,1450,96,0.42,36,0.16,97,0.42
Ectorssaga,nar,1450,214,0.36,273,0.46,111,0.19
Judit,rel,1450,33,0.45,3,0.04,38,0.51
Vilhjalmur,nar,1450,212,0.47,112,0.25,125,0.28
Aevintyri,nar,1475,176,0.56,15,0.05,123,0.39
Jarlmann,nar,1480,118,0.48,66,0.27,61,0.25
Erasmus,nar,1525,26,0.33,1,0.01,52,0.66
Georgius,nar,1525,49,0.32,9,0.06,97,0.62
Ntacs,rel,1540,76,0.5,3,0.02,73,0.48
Ntjohn,rel,1540,240,0.55,14,0.03,179,0.41
Eintal,rel,1593,197,0.61,0,0.0,126,0.39
Okur,rel,1611,88,0.66,0,0.0,49,0.36
Olafuregils,bio,1628,51,0.34,0,0.0,98,0.66
Gerhard,rel,1630,119,0.69,1,0.01,53,0.31
Illugi,nar,1650,223,0.4,194,0.35,134,0.24
Pislarsaga,bio,1659,5,0.07,23,0.31,46,0.62
Indiafari,bio,1661,266,0.66,16,0.04,124,0.31
Armann,nar,1675,73,0.31,94,0.4,69,0.29
Magnus,bio,1675,19,0.54,7,0.2,9,0.26
Modars,nar,1675,49,0.47,22,0.21,34,0.32
Skalholt,nar,1680,44,0.24,103,0.56,36,0.2
Vidalin,rel,1720,160,0.6,4,0.02,101,0.38
Biskupasogur,nar,1725,47,0.26,56,0.31,79,0.43
Klim,nar,1745,145,0.5,6,0.02,141,0.48
Fimmbraedra,nar,1790,164,0.37,149,0.34,128,0.29
Jonsteingrims,bio,1791,204,0.38,186,0.35,146,0.27
Hellismenn,nar,1830,52,0.15,242,0.7,53,0.15
Jonasedli,sci,1835,20,0.53,0,0.0,18,0.47
Piltur,nar,1850,188,0.6,42,0.13,83,0.27
Hugvekjur,rel,1859,134,0.56,7,0.03,98,0.41
Orrusta,nar,1861,211,0.51,101,0.24,103,0.25
Torfhildur,nar,1882,372,0.69,33,0.06,136,0.25
Voggur,nar,1883,24,0.8,0,0.0,6,0.2
Grimur,nar,1888,134,0.76,0,0.0,42,0.24
Vordraumur,nar,1888,149,0.72,0,0.0,59,0.28
Fossar,nar,1902,352,0.7,6,0.01,146,0.29
Leysing,nar,1907,359,0.64,24,0.04,181,0.32
Ofurefli,nar,1908,452,0.79,10,0.02,108,0.19
Arin,rel,1920,200,0.59,10,0.03,131,0.38
Margsaga,nar,1985,406,0.64,12,0.02,215,0.34
Sagan,nar,1985,356,0.7,2,0.0,151,0.3
Mamma,nar,2008,585,0.81,10,0.01,129,0.18
Ofsi,nar,2008,224,0.74,17,0.06,63,0.21
